"Type","Category","Title","URL","Word_Count","Code_Lines","Headings","Paragraphs","Estimated_Screens","Themes","P5_Function_Count","Data_Note","Tags","FnList"
"Tutorial","Drawing","Color Gradients","https://beta.p5js.org/tutorials/color-gradients/","3300","17","15","30","17.6","Color Theory, Gradient Effects, Webcam Interaction","7","Scraped","drawing,webcam,color","setup|createCanvas|stroke|line|color|colorMode|map"
"Tutorial","Drawing","Custom Shapes and Smooth Curves","https://beta.p5js.org/tutorials/custom-shapes-and-smooth-curves/","3350","387","9","28","29.2","Vector Shapes, Bezier Curves, Custom Drawing","27","Scraped","geometry,drawing,webcam,curves,mouse,math","setup|createCanvas|fill|stroke|noStroke|circle|line|bezierVertex|vertex|beginShape|endShape|curve|push|pop|translate|scale|mousePressed|mouseClicked|image|color|colorMode|lerpColor|map|random|blendMode|createButton|createCapture"
"Tutorial","Web Design","Creating and Styling HTML","https://beta.p5js.org/tutorials/creating-styling-html/","3850","146","15","48","25.1","DOM Manipulation, HTML CSS Styling, p5.Element","9","Scraped","DOM","setup|draw|createCanvas|background|min|log|select|createDiv|createP"
"Tutorial","Web Design","Loading and Selecting Fonts","https://beta.p5js.org/tutorials/loading-and-selecting-fonts/","2850","13","10","18","14.6","Typography, Custom Fonts, Text Rendering","9","Scraped","typography","setup|createCanvas|background|fill|text|textSize|textFont|textAlign|loadFont"
"Tutorial","Accessibility","How to Use p5.js with a Screen Reader","https://beta.p5js.org/tutorials/p5js-with-screen-reader/","2100","8","10","14","9.3","Screen Reader, Web Accessibility, Inclusive Design","4","Scraped","accessibility",""
"Tutorial","Accessibility","Writing Accessible Canvas Descriptions","https://beta.p5js.org/tutorials/writing-accessible-canvas-descriptions/","2840","100","14","18","10.0","Canvas Accessibility, Alt Text, Screen Reader","16","Scraped","accessibility","setup|draw|createCanvas|background|fill|noStroke|ellipse|triangle|text|textSize|textStyle|red|round|describe|describeElement|gridOutput"
"Tutorial","Critical AI","Chatting with/about Code","https://beta.p5js.org/tutorials/criticalai1-chatting-with-about-code/","3200","13","16","31","12.6","Generative AI, Critical AI, LLM Coding","4","Scraped","generative,keyboard,AI","draw|background|keyPressed|color"
"Tutorial","Critical AI","Critical AI Prompt Battle","https://beta.p5js.org/tutorials/criticalai2-prompt-battle/","3850","127","13","31","16.4","AI Prompt Engineering, Bias Detection, ML Exploration","5","Scraped","AI",""
"Tutorial","Critical AI","Critical AI Sentiment Dataset Explorer","https://beta.p5js.org/tutorials/criticalai3-sentiment-dataset-explorer/","3847","87","27","42","12.9","Sentiment Analysis, Dataset Exploration, Critical AI","3","Scraped","data,AI",""
"Tutorial","Critical AI","Critical AI No-AI Chatbot","https://beta.p5js.org/tutorials/criticalai4-no-ai-chatbot/","3200","50","11","28","13.4","Chatbot Scripting, RiveScript, No-AI Dialogue","2","Scraped","AI","log|createP"
"Tutorial","WebGL","Coordinates and Transformations","https://beta.p5js.org/tutorials/coordinates-and-transformations/","2150","155","11","18","15.2","3D Transformations, Coordinate Systems, WebGL","22","Scraped","transforms,math,DOM,3D","setup|draw|createCanvas|background|fill|stroke|noStroke|strokeWeight|line|push|pop|translate|rotate|scale|map|random|sin|millis|sphere|cylinder|orbitControl|createVector"
"Tutorial","WebGL","Creating Custom Geometry in WebGL","https://beta.p5js.org/tutorials/custom-geometry/","2150","96","11","18","12.9","3D Geometry, WebGL, Procedural Shapes","22","Scraped","accessibility,geometry,noise,math,3D","setup|draw|createCanvas|background|fill|beginShape|push|pop|translate|rotate|loadModel|model|colorMode|map|noise|sphere|cylinder|buildGeometry|normalMaterial|orbitControl|createVector|describe"
"Tutorial","WebGL","Lights Camera Materials","https://beta.p5js.org/tutorials/lights-camera-materials/","2100","122","10","18","14.4","3D Graphics, WebGL Rendering, Lighting","29","Scraped","accessibility,lighting,images,3D","setup|draw|createCanvas|background|fill|stroke|noStroke|beginShape|push|pop|translate|loadImage|map|millis|box|ambientLight|directionalLight|pointLight|spotLight|ambientMaterial|normalMaterial|emissiveMaterial|specularMaterial|shininess|texture|camera|orbitControl|debugMode|describe"
"Tutorial","WebGL","Introduction to GLSL","https://beta.p5js.org/tutorials/intro-to-glsl/","3850","88","14","38","19.8","Shader Programming, WebGL Graphics, GLSL","6","Scraped","shaders,video,math,3D","setup|createCanvas|color|sin|loop|createVideo"
"Tutorial","WebGL","Layered Rendering with Framebuffers","https://beta.p5js.org/tutorials/layered-rendering-with-framebuffers/","2100","73","11","18","12.5","WebGL Graphics, GPU Rendering, Framebuffers","25","Scraped","accessibility,lighting,shaders,math,3D","setup|draw|createCanvas|background|fill|noStroke|push|pop|translate|rotate|scale|image|imageMode|map|sin|createFramebuffer|clear|sphere|ambientLight|directionalLight|ambientMaterial|normalMaterial|specularMaterial|shininess|describe"
"Tutorial","WebGL","Optimizing WebGL Sketches","https://beta.p5js.org/tutorials/optimizing-webgl-sketches/","2850","17","13","18","14.3","WebGL Optimization, Performance Tuning, GPU","8","Scraped","accessibility,performance,shaders,curves,DOM,3D","setup|draw|createCanvas|background|strokeWeight|bezier|createSlider|describe"
"Tutorial","Advanced Topics","Field Guide to Debugging","https://beta.p5js.org/tutorials/field-guide-to-debugging/","4850","131","18","62","25.6","Debugging Methodology, Error Handling, Coding Education","8","Scraped","debugging","setup|draw|createCanvas|background|circle|rect|text|textSize"
"Tutorial","Advanced Topics","How to Optimize Your Sketches","https://beta.p5js.org/tutorials/how-to-optimize-your-sketches/","3850","53","16","38","12.7","Performance Optimization, Profiling, Creative Coding","5","Scraped","performance,DOM","copy|dist|log|random|millis"
"Tutorial","Advanced Topics","Getting Started with Node.js","https://beta.p5js.org/tutorials/getting-started-with-nodejs/","2840","49","8","22","10.3","Backend Development, Web Server, Node.js","7","Scraped","Node.js,data","setup|draw|createCanvas|background|get|log|loadJSON"
"Example","Shapes and Color","Shape Primitives","https://beta.p5js.org/examples/shapes-and-color-shape-primitives/","85","20","3","2","3.0","Drawing Primitives, 2D Shapes, Beginner","8","Scraped","beginner,geometry,drawing,color","setup|createCanvas|background|rect|square|arc|angleMode|textOutput"
"Example","Shapes and Color","Color","https://beta.p5js.org/examples/shapes-and-color-color/","85","23","3","2","3.4","Color, Fill Stroke, Beginner","9","Scraped","beginner,geometry,color","setup|createCanvas|background|fill|stroke|strokeWeight|square|angleMode|textOutput"
"Example","Animation and Variables","Drawing Lines","https://beta.p5js.org/examples/animation-and-variables-drawing-lines/","85","19","2","3","2.1","Mouse Interaction, Animation, Drawing","10","Scraped","accessibility,animation,variables,drawing,mouse","setup|createCanvas|background|stroke|strokeWeight|line|mouseDragged|colorMode|brightness|describe"
"Example","Animation and Variables","Animation with Events","https://beta.p5js.org/examples/animation-and-variables-animation-with-events/","95","21","2","3","2.7","Animation, Events, Interactive","10","Scraped","interaction,variables,animation","setup|draw|createCanvas|background|fill|circle|textSize|colorMode|brightness|noLoop"
"Example","Animation and Variables","Mobile Device Movement","https://beta.p5js.org/examples/animation-and-variables-mobile-device-movement/","85","17","2","2","2.0","Mobile, Sensors, Device Motion","6","Scraped","accessibility,variables,animation,mobile","setup|createCanvas|background|deviceMoved|map|describe"
"Example","Animation and Variables","Conditions","https://beta.p5js.org/examples/animation-and-variables-conditions/","180","25","3","4","3.8","Conditionals, Logic, Animation","7","Scraped","conditionals,animation,variables","setup|createCanvas|background|fill|noStroke|rect|colorMode"
"Example","Imported Media","Words","https://beta.p5js.org/examples/imported-media-words/","185","16","3","2","2.9","Typography, Text Rendering, Fonts","7","Scraped","accessibility,typography","setup|createCanvas|background|textSize|textFont|loadFont|describe"
"Example","Imported Media","Copy Image Data","https://beta.p5js.org/examples/imported-media-copy-image-data/","85","18","2","2","2.4","Image Manipulation, Pixel Copy, Interactive Graphics","6","Scraped","accessibility,interaction,images","setup|createCanvas|loadImage|image|color|describe"
"Example","Imported Media","Alpha Mask","https://beta.p5js.org/examples/imported-media-alpha-mask/","85","19","2","2","2.7","Alpha Masking, Image Transparency, Media","8","Scraped","accessibility,images","setup|draw|createCanvas|background|textAlign|loadImage|image|describe"
"Example","Imported Media","Image Transparency","https://beta.p5js.org/examples/imported-media-image-transparency/","85","19","2","3","2.6","Image Transparency, Tint, Media","7","Scraped","accessibility,images","setup|draw|createCanvas|loadImage|image|tint|describe"
"Example","Imported Media","Audio Player","https://beta.p5js.org/examples/imported-media-create-audio/","95","17","2","2","2.2","Audio, Media, Sound","3","Estimated","audio","setup|loop|createAudio"
"Example","Imported Media","Video Player","https://beta.p5js.org/examples/imported-media-video/","90","16","2","2","2.6","Video, Media, Playback","3","Estimated","video,DOM","setup|createButton|createVideo"
"Example","Imported Media","Video on Canvas","https://beta.p5js.org/examples/imported-media-video-canvas/","90","42","2","2","3.4","Video, Canvas, Filter","12","Estimated","accessibility,video,mouse","setup|draw|createCanvas|background|mousePressed|text|textSize|image|filter|loop|createVideo|describe"
"Example","Imported Media","Video Capture","https://beta.p5js.org/examples/imported-media-video-capture/","80","20","2","2","2.5","Webcam, Video, Live Input","6","Estimated","accessibility,webcam,video","setup|draw|createCanvas|background|createCapture|describe"
"Example","Input Elements","Image Drop","https://beta.p5js.org/examples/input-elements-image-drop/","80","22","2","2","2.5","Drag Drop, DOM, Media","11","Estimated","accessibility,DOM","setup|draw|createCanvas|background|fill|noStroke|text|textSize|textAlign|noLoop|describe"
"Example","Input Elements","Input and Button","https://beta.p5js.org/examples/input-elements-input-button/","80","19","2","2","2.7","DOM, Input, Interaction","7","Estimated","mouse,DOM","setup|createCanvas|background|mousePressed|createButton|createInput|createElement"
"Example","Input Elements","Form Elements","https://beta.p5js.org/examples/input-elements-dom-form-elements/","120","21","3","3","3.2","DOM, Forms, Interaction","4","Estimated","DOM","setup|createCanvas|createInput|createSelect"
"Example","Transformation","Translate","https://beta.p5js.org/examples/transformation-translate/","100","22","2","2","2.6","Transformations, Coordinate System, 2D","10","Estimated","transforms,DOM","setup|draw|createCanvas|background|fill|circle|rect|push|translate|textOutput"
"Example","Transformation","Rotate","https://beta.p5js.org/examples/transformation-rotate/","100","21","2","2","2.7","Transformations, Rotation, Animation","12","Estimated","accessibility,transforms,animation,DOM","setup|draw|createCanvas|background|fill|push|textSize|textAlign|colorMode|brightness|angleMode|describe"
"Example","Transformation","Scale","https://beta.p5js.org/examples/transformation-scale/","100","25","2","2","2.6","Transformations, Scale, Animation","10","Estimated","transforms,animation,DOM","setup|draw|createCanvas|background|fill|square|push|pop|scale|textOutput"
"Example","Calculating Values","Linear Interpolation","https://beta.p5js.org/examples/calculating-values-interpolate/","185","20","2","3","2.4","Interpolation, Animation, Creative Coding","10","Scraped","animation,math","setup|draw|createCanvas|background|fill|stroke|noStroke|ellipse|lerp|textOutput"
"Example","Calculating Values","Map","https://beta.p5js.org/examples/calculating-values-map/","210","15","2","2","2.1","Value Mapping, Interactivity, Creative Coding","10","Scraped","interaction","setup|draw|createCanvas|background|fill|noStroke|circle|colorMode|map|textOutput"
"Example","Calculating Values","Random","https://beta.p5js.org/examples/calculating-values-random/","280","20","2","3","2.6","Randomness, Generative Art, Creative Coding","6","Scraped","accessibility,randomness,generative,DOM","setup|draw|createCanvas|color|random|describe"
"Example","Calculating Values","Constrain","https://beta.p5js.org/examples/calculating-values-constrain/","185","21","3","1","2.7","Value Clamping, Boundaries, Creative Coding","7","Scraped","accessibility","setup|draw|createCanvas|background|noStroke|circle|describe"
"Example","Calculating Values","Clock","https://beta.p5js.org/examples/calculating-values-clock/","180","22","3","2","3.1","Time, Transformations, Creative Coding","9","Scraped","accessibility,transforms,DOM","setup|draw|createCanvas|background|stroke|translate|min|angleMode|describe"
"Example","Repetition","Color Interpolation","https://beta.p5js.org/examples/repetition-color-interpolation/","280","19","3","2","3.2","Color, Interpolation, Repetition","6","Scraped","accessibility,color,math","setup|createCanvas|noStroke|color|colorMode|describe"
"Example","Repetition","Color Wheel","https://beta.p5js.org/examples/repetition-color-wheel/","210","19","3","2","2.8","Color Theory, Loops, Repetition","9","Scraped","accessibility,color,loops","setup|createCanvas|background|noStroke|push|textAlign|colorMode|angleMode|describe"
"Example","Repetition","Bezier","https://beta.p5js.org/examples/repetition-bezier/","320","20","3","3","2.5","Curves, Geometry, Repetition","9","Scraped","accessibility,geometry,curves","setup|draw|createCanvas|background|noFill|strokeWeight|line|colorMode|describe"
"Example","Repetition","Kaleidoscope","https://beta.p5js.org/examples/repetition-kaleidoscope/","280","21","3","1","3.1","Symmetry, Transformations, Repetition","7","Scraped","accessibility,transforms,DOM","setup|draw|createCanvas|background|translate|angleMode|describe"
"Example","Repetition","Noise","https://beta.p5js.org/examples/repetition-noise/","180","22","2","2","3","Perlin Noise, Generative Art, Repetition","4","Scraped","generative,noise","setup|createCanvas|mouseMoved|createSlider"
"Example","Repetition","Recursive Tree","https://beta.p5js.org/examples/repetition-recursive-tree/","130","22","3","1","3.2","Recursion, Generative Art, Animation","11","Scraped","accessibility,generative,animation,recursion","setup|draw|createCanvas|background|stroke|line|translate|colorMode|min|angleMode|describe"
"Example","Listing Data with Arrays","Random Poetry","https://beta.p5js.org/examples/listing-data-with-arrays-random-poetry/","145","11","4","5","2.9","Arrays, Typography, Randomness","0","Scraped","randomness,typography,arrays,data,DOM",""
"Example","Angles and Motion","Sine and Cosine","https://beta.p5js.org/examples/angles-and-motion-sine-cosine/","95","24","3","2","4.2","Trigonometry, Animation, Mathematics","11","Scraped","accessibility,animation,math","setup|draw|createCanvas|background|fill|noFill|text|textSize|textAlign|angleMode|describe"
"Example","Angles and Motion","Aim","https://beta.p5js.org/examples/angles-and-motion-aim/","165","24","3","3","2.5","Trigonometry, Interactivity, Mouse Tracking","14","Scraped","accessibility,interaction,animation,mouse,math","setup|draw|createCanvas|background|fill|ellipse|push|pop|translate|rotate|colorMode|atan2|angleMode|describe"
"Example","Angles and Motion","Triangle Strip","https://beta.p5js.org/examples/angles-and-motion-triangle-strip/","180","23","2","1","2.9","Geometry, Shapes, Trigonometry","11","Scraped","accessibility,animation,geometry,math","setup|draw|createCanvas|background|translate|colorMode|map|round|angleMode|createP|describe"
"Example","Games","Circle Clicker","https://beta.p5js.org/examples/games-circle-clicker/","180","28","3","2","3.8","Games, Interactivity, Game Loop","11","Scraped","interaction,loops,games","setup|draw|createCanvas|background|fill|noStroke|circle|textSize|colorMode|getItem|describeElement"
"Example","Games","Ping Pong","https://beta.p5js.org/examples/games-ping-pong/","195","28","3","1","5.4","Games, Keyboard Input, Collision Detection","8","Scraped","accessibility,keyboard,games","setup|createCanvas|fill|noStroke|textSize|textAlign|noLoop|describe"
"Example","Games","Snake","https://beta.p5js.org/examples/games-snake/","165","21","3","2","7.1","Games, Arrays, Keyboard Input","0","Scraped","keyboard,arrays,games",""
"Example","3D","Geometries","https://beta.p5js.org/examples/3d-geometries/","115","17","2","1","3.4","3D, WebGL, Geometry","9","Scraped","accessibility,geometry,3D","setup|draw|createCanvas|background|push|loadModel|angleMode|normalMaterial|describe"
"Example","3D","Custom Geometry","https://beta.p5js.org/examples/3d-custom-geometry/","190","27","3","3","3.4","3D, WebGL, Custom Geometry","13","Scraped","accessibility,geometry,3D","setup|createCanvas|fill|push|pop|translate|scale|colorMode|random|angleMode|sphere|buildGeometry|describe"
"Example","3D","Materials","https://beta.p5js.org/examples/3d-materials/","185","21","3","3","6.6","3D Graphics, Lighting Materials, WebGL","6","Scraped","accessibility,lighting,images,3D","setup|createCanvas|loadImage|loadModel|angleMode|describe"
"Example","3D","Orbit Control","https://beta.p5js.org/examples/3d-orbit-control/","185","18","3","2","2.5","3D Graphics, Interactive Camera, WebGL","10","Scraped","accessibility,interaction,3D","setup|draw|createCanvas|background|noFill|stroke|strokeWeight|angleMode|orbitControl|describe"
"Example","3D","Filter Shader","https://beta.p5js.org/examples/3d-filter-shader/","280","22","4","2","2.8","3D Graphics, Shader Programming, WebGL","0","Scraped","shaders,3D",""
"Example","3D","Adjusting Positions with a Shader","https://beta.p5js.org/examples/3d-adjusting-positions-with-a-shader/","95","19","3","2","3.6","Shader Programming, 3D Graphics, Creative Coding","2","Scraped","shaders,math,3D","vertex|sin"
"Example","3D","Framebuffer Blur","https://beta.p5js.org/examples/3d-framebuffer-blur/","185","21","3","2","4.9","3D Graphics, Shader Programming, Depth of Field","0","Scraped","shaders,3D",""
"Example","Advanced Canvas Rendering","Create Graphics","https://beta.p5js.org/examples/advanced-canvas-rendering-create-graphics/","145","17","3","2","2.6","Graphics Rendering, Canvas Manipulation, Creative Coding","6","Scraped","accessibility","setup|draw|createCanvas|background|createGraphics|describe"
"Example","Advanced Canvas Rendering","Multiple Canvases","https://beta.p5js.org/examples/advanced-canvas-rendering-multiple-canvases/","95","26","4","3","2.1","Canvas Manipulation, Instance Mode, Creative Coding","6","Scraped","","createCanvas|background|fill|stroke|circle|square"
"Example","Advanced Canvas Rendering","Shader as a Texture","https://beta.p5js.org/examples/advanced-canvas-rendering-shader-as-a-texture/","95","25","3","2","4.7","Shader Programming, 3D Graphics, Texture Mapping","0","Scraped","shaders,3D",""
"Example","Classes and Objects","Snowflakes","https://beta.p5js.org/examples/classes-and-objects-snowflakes/","185","21","4","3","3.1","Particle Systems, Object Oriented, Creative Coding","7","Scraped","accessibility,particles,OOP","setup|draw|createCanvas|background|push|angleMode|describe"
"Example","Classes and Objects","Shake Ball Bounce","https://beta.p5js.org/examples/classes-and-objects-shake-ball-bounce/","185","20","3","2","5.4","Mobile Interaction, Object Oriented, Creative Coding","2","Scraped","accessibility,mobile,OOP","setup|describe"
"Example","Classes and Objects","Connected Particles","https://beta.p5js.org/examples/classes-and-objects-connected-particles/","95","17","3","2","5.0","Classes, Object Oriented, Interactivity","5","Scraped","accessibility,interaction,math,OOP","setup|createCanvas|colorMode|createVector|describe"
"Example","Classes and Objects","Flocking","https://beta.p5js.org/examples/classes-and-objects-flocking/","107","25","3","3","6.6","Simulation, Autonomous Agents, Classes","7","Scraped","accessibility,simulation,mouse,OOP","setup|draw|createCanvas|background|mouseDragged|createP|describe"
"Example","Loading and Saving Data","Local Storage","https://beta.p5js.org/examples/loading-and-saving-data-local-storage/","117","23","2","4","4.3","Data Storage, Local Storage, Persistence","3","Scraped","data","setup|createCanvas|push"
"Example","Loading and Saving Data","JSON","https://beta.p5js.org/examples/loading-and-saving-data-json/","137","23","3","3","4.6","Data, JSON, File Loading","3","Scraped","data","setup|createCanvas|push"
"Example","Loading and Saving Data","Table","https://beta.p5js.org/examples/loading-and-saving-data-table/","113","20","2","3","4.7","CSV, Tabular Data, File Loading","0","Scraped","data",""
"Example","Math and Physics","Non-Orthogonal Reflection","https://beta.p5js.org/examples/math-and-physics-non-orthogonal-reflection/","109","22","2","4","4.1","Vectors, Physics, Reflection","5","Scraped","physics,math","setup|createCanvas|colorMode|createVector|p5.Vector"
"Example","Math and Physics","Soft Body","https://beta.p5js.org/examples/math-and-physics-soft-body/","75","27","3","3","3.8","Physics, Curves, Simulation","2","Scraped","simulation,physics,curves,math","setup|createCanvas"
"Example","Math and Physics","Forces","https://beta.p5js.org/examples/math-and-physics-forces/","121","22","2","4","4.8","Physics, Vectors, Gravity","6","Scraped","accessibility,physics,math","setup|draw|createCanvas|background|colorMode|describe"
"Example","Math and Physics","Smoke Particles","https://beta.p5js.org/examples/math-and-physics-smoke-particle-system/","103","120","3","4","4.7","Particle Systems, Simulation, Vectors","14","Scraped","simulation,particles,physics,math",""
"Example","Math and Physics","Game of Life","https://beta.p5js.org/examples/math-and-physics-game-of-life/","162","78","2","2","4.7","Cellular Automata, Simulation, Grid","9","Scraped","simulation,physics,math",""
"Example","Math and Physics","Mandelbrot Set","https://beta.p5js.org/examples/math-and-physics-mandelbrot/","60","55","2","2","1.6","Fractals, Mathematics, Pixel Manipulation","9","Scraped","recursion,physics,images,math",""
"Example","Parallel Loading Promise","Async Await with Promise.all","https://beta.p5js.org/examples/parallel-loading-promise-async-image-loader/","62","42","2","2","2.3","Async, Image Loading, Promises","6","Scraped","images,async",""
